               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10278,            0.013782,                   0,          0.00019298,            0.057592,          0.00010282,          2.3133e-05,            0.088477,            0.009285,                   0,            0.070238,           0.0033069,           0.0033069
                   1,             0.07645,           0.0098203,                   0,            0.059443,            0.099476,            0.031451,           0.0073767,            0.064548,           0.0083427,                   0,            0.040107,           0.0065087,           0.0065087
                   2,            0.067067,           0.0085989,                   0,             0.23859,             0.20836,              0.1054,            0.030031,            0.064697,           0.0081106,                   0,           0.0098431,           0.0095786,           0.0095786
                   3,             0.06376,           0.0080132,                   0,             0.60455,             0.34031,             0.34005,            0.088465,            0.059791,           0.0071123,                   0,            0.009406,            0.009406,            0.009406
                   4,             0.05755,           0.0073511,                   0,             0.44803,             0.33508,             0.32297,            0.091425,            0.056237,           0.0070135,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.058371,           0.0071839,                   0,             0.50562,             0.39791,             0.37168,             0.10991,            0.053394,           0.0064928,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.056879,           0.0070146,                   0,             0.58626,             0.37094,             0.42536,             0.11955,            0.051232,           0.0070755,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.053849,           0.0066529,                   0,             0.58429,             0.38743,             0.42098,             0.13921,             0.05378,           0.0064326,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.053037,           0.0065924,                   0,              0.6295,             0.43979,              0.4734,              0.1388,            0.051176,           0.0059202,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.052223,           0.0062078,                   0,             0.57244,             0.38743,             0.43996,              0.1295,            0.052641,           0.0058556,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.050976,           0.0064159,                   0,             0.60031,             0.48691,              0.4906,               0.147,            0.048492,           0.0057001,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.049889,           0.0060803,                   0,             0.66353,             0.42408,             0.47496,             0.15176,            0.047807,           0.0057021,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.049145,           0.0058088,                   0,             0.64863,             0.49738,             0.51752,               0.159,            0.046386,           0.0054934,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.049537,           0.0058257,                   0,             0.68175,             0.47644,             0.51657,             0.16591,            0.046978,           0.0054182,                   0,            0.007624,            0.007624,            0.007624
